player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Marcus Sasser,2026-03-05,DET,0.0,,,,,,,,,,,,
Paul Reed,2026-03-05,DET,0.0,,,,,,,,,,,,
Ronald Holland II,2026-03-05,DET,0.0,,,,,,,,,,,,
Tobias Harris,2026-03-05,DET,1.0,,,,,,,,,,,,
Tolu Smith,2026-03-05,DET,0.0,,,,,,,,,,,,
Wendell Moore Jr.,2026-03-05,DET,0.0,,,,,,,,,,,,
Amir Coffey,2026-03-05,PHX,0.0,,,,,,,,,,,,
Collin Gillespie,2026-03-05,PHX,1.0,,,,,,,,,,,,
Devin Booker,2026-03-05,PHX,1.0,,,,,,,,,,,,
Dillon Brooks,2026-03-05,PHX,0.0,,,,,,,,,,,,
Grayson Allen,2026-03-05,PHX,0.0,,,,,,,,,,,,
Isaiah Livers,2026-03-05,PHX,0.0,,,,,,,,,,,,
Jalen Green,2026-03-05,PHX,1.0,,,,,,,,,,,,
Jamaree Bouyea,2026-03-05,PHX,0.0,,,,,,,,,,,,
Jordan Goodwin,2026-03-05,PHX,0.0,,,,,,,,,,,,
Khaman Maluach,2026-03-05,PHX,0.0,,,,,,,,,,,,
Koby Brea,2026-03-05,PHX,0.0,,,,,,,,,,,,
Mark Williams,2026-03-05,PHX,0.0,,,,,,,,,,,,
Nigel Hayes-Davis,2026-03-05,PHX,0.0,,,,,,,,,,,,
Oso Ighodaro,2026-03-05,PHX,1.0,,,,,,,,,,,,
Rasheer Fleming,2026-03-05,PHX,0.0,,,,,,,,,,,,
Royce O'Neale,2026-03-05,PHX,1.0,,,,,,,,,,,,
Ryan Dunn,2026-03-05,PHX,0.0,,,,,,,,,,,,
Anfernee Simons,2026-03-05,CHI,0.0,,,,,,,,,,,,
Collin Sexton,2026-03-05,CHI,1.0,,,,,,,,,,,,
Emanuel Miller,2026-03-05,CHI,0.0,,,,,,,,,,,,
Guerschon Yabusele,2026-03-05,CHI,1.0,,,,,,,,,,,,
Isaac Okoro,2026-03-05,CHI,1.0,,,,,,,,,,,,
Jaden Ivey,2026-03-05,CHI,0.0,,,,,,,,,,,,
Jalen Smith,2026-03-05,CHI,0.0,,,,,,,,,,,,
Josh Giddey,2026-03-05,CHI,0.0,,,,,,,,,,,,
Lachlan Olbrich,2026-03-05,CHI,0.0,,,,,,,,,,,,
Leonard Miller,2026-03-05,CHI,1.0,,,,,,,,,,,,
Mac McClung,2026-03-05,CHI,0.0,,,,,,,,,,,,
Matas Buzelis,2026-03-05,CHI,0.0,,,,,,,,,,,,
Nick Richards,2026-03-05,CHI,0.0,,,,,,,,,,,,
Noa Essengue,2026-03-05,CHI,0.0,,,,,,,,,,,,
Patrick Williams,2026-03-05,CHI,0.0,,,,,,,,,,,,
Rob Dillingham,2026-03-05,CHI,0.0,,,,,,,,,,,,
Tre Jones,2026-03-05,CHI,1.0,,,,,,,,,,,,
Trentyn Flowers,2026-03-05,CHI,0.0,,,,,,,,,,,,
Yuki Kawamura,2026-03-05,CHI,0.0,,,,,,,,,,,,
Zach Collins,2026-03-05,CHI,0.0,,,,,,,,,,,,
Aaron Gordon,2026-03-05,DEN,0.0,,,,,,,,,,,,
Bruce Brown,2026-03-05,DEN,0.0,,,,,,,,,,,,
Cameron Johnson,2026-03-05,DEN,1.0,,,,,,,,,,,,
Christian Braun,2026-03-05,DEN,1.0,,,,,,,,,,,,
